,health_worker_id,num_datapoints
0,120,6
1,113,8
2,208,5
3,142,7
4,79,3
5,547,5
6,591,2
7,135,7
8,549,6
9,334,9
10,534,6
11,27,5
12,562,3
13,645,3
14,654,7
15,670,10
16,57,7
17,372,9
18,220,7
19,236,7
20,415,4
21,133,8
22,382,6
23,114,6
24,49,10
25,529,2
26,342,9
27,129,9
28,31,5
29,314,10
30,664,2
31,256,2
32,741,2
33,222,7
34,770,1
35,187,6
36,58,10
37,588,6
38,136,6
39,24,8
40,517,1
41,598,3
42,104,8
43,274,7
44,637,3
45,55,6
46,166,10
47,329,8
48,563,3
49,578,4
50,528,1
51,597,2
52,631,1
53,577,6
54,655,4
55,48,8
56,36,5
57,112,3
58,85,10
59,317,4
60,37,6
61,370,7
62,624,7
63,259,5
64,54,5
65,87,9
66,59,9
67,333,5
68,764,2
69,300,3
70,247,8
71,660,4
72,194,6
73,137,9
74,34,7
75,506,2
76,550,6
77,176,10
78,675,3
79,520,3
80,575,7
81,539,2
82,336,9
83,362,5
84,123,7
85,768,1
86,514,2
87,583,6
88,515,4
89,174,7
90,143,5
91,101,10
92,638,2
93,70,4
94,593,3
95,761,3
96,140,3
97,513,1
98,273,8
99,430,10
100,418,6
101,231,6
102,665,2
103,130,9
104,132,9
105,377,4
106,313,4
107,319,7
108,566,1
109,163,3
110,275,6
111,26,7
112,431,8
113,565,5
114,310,8
115,503,3
116,374,8
117,155,4
118,636,7
119,643,3
120,766,1
121,356,4
122,754,1
123,650,1
124,709,4
125,746,3
126,686,2
127,702,2
128,710,1
129,726,1
130,41,9
131,434,9
132,134,10
133,296,10
134,641,1
135,748,2
136,110,5
137,416,9
138,225,5
139,736,3
140,164,6
141,115,3
142,527,1
143,508,1
144,88,5
145,167,10
146,117,8
147,28,4
148,722,3
149,758,2
150,53,8
151,673,8
152,635,4
153,769,1
154,122,6
155,378,2
156,502,1
157,546,4
158,612,6
159,727,2
160,335,7
161,629,4
162,156,7
163,651,1
164,570,1
165,657,3
166,634,3
167,516,4
168,594,1
169,302,2
170,102,2
171,524,1
172,414,6
173,383,10
174,756,3
175,141,9
176,43,6
177,659,2
178,242,8
179,545,4
180,774,1
181,105,5
182,437,9
183,183,7
184,656,10
185,376,10
186,361,5
187,561,4
188,255,3
189,535,2
190,505,2
191,652,1
192,585,2
193,309,5
194,77,3
195,202,7
196,251,4
197,345,4
198,355,7
199,171,3
200,306,5
201,666,2
202,139,5
203,1142,4
204,663,1
205,201,5
206,725,3
207,121,5
208,433,7
209,797,5
210,607,1
211,153,3
212,203,3
213,145,4
214,584,6
215,592,1
216,315,5
217,798,2
218,765,1
219,816,1
220,1006,1
221,223,6
222,757,2
223,619,1
224,809,1
225,238,3
226,802,1
227,793,1
228,86,7
229,537,1
230,367,7
231,536,3
232,771,1
233,363,7
234,445,4
235,288,3
236,295,4
237,523,1
238,180,3
239,426,6
240,576,1
241,127,9
242,554,1
243,807,1
244,568,4
245,298,3
246,413,3
247,960,1
248,589,6
249,1022,5
250,929,2
251,747,1
252,705,3
253,985,1
254,979,1
255,752,1
256,989,2
257,986,4
258,928,1
259,682,1
260,693,3
261,781,1
262,252,5
263,606,1
264,111,5
265,168,7
266,983,1
267,108,2
268,301,2
269,590,1
270,1135,2
271,817,1
272,778,1
273,350,7
274,648,1
275,906,3
276,668,1
277,403,9
278,305,4
279,280,4
280,689,2
281,250,9
282,210,4
283,994,2
284,984,5
285,125,5
286,988,6
287,119,5
288,821,5
289,226,7
290,531,1
291,801,4
292,688,2
293,179,5
294,294,6
295,587,1
296,1132,1
297,128,7
298,217,2
299,605,1
300,410,7
301,281,4
302,152,2
303,604,1
304,35,5
305,282,4
306,253,5
307,1160,2
308,610,2
309,1295,1
310,567,6
311,405,2
312,386,2
313,982,1
314,379,6
315,265,3
316,358,4
317,216,2
318,352,3
319,178,6
320,646,1
321,823,1
322,51,7
323,269,3
324,1139,1
325,614,1
326,716,1
327,800,1
328,332,8
329,732,2
330,237,5
331,161,7
332,353,5
333,625,1
334,150,7
335,84,4
336,366,1
337,1289,1
338,318,5
339,299,3
340,244,3
341,349,6
342,371,5
343,311,5
344,197,8
345,320,1
346,266,3
347,789,2
348,3436,2
349,3033,3
350,4122,4
351,3596,7
352,5305,7
353,4352,7
354,3934,6
355,4891,2
356,5006,5
357,3006,3
358,5538,6
359,3531,3
360,6348,1
361,8163,5
362,7802,7
363,6690,4
364,4409,6
365,6073,6
366,10030,3
367,4854,3
368,6528,2
369,6082,1
370,5017,1
371,7798,1
372,6295,3
373,3021,7
374,2882,2
375,5037,4
376,4310,4
377,3328,2
378,2968,1
379,5067,3
380,6113,2
381,2823,5
382,4575,4
383,2969,3
384,5980,6
385,3882,4
386,4332,2
387,3289,5
388,3264,5
389,8910,2
390,4116,3
391,3799,2
392,9482,3
393,3231,2
394,4833,4
395,4787,1
396,7910,1
397,8853,7
398,3727,2
399,6503,3
400,2930,7
401,6664,4
402,2891,3
403,8352,3
404,6420,1
405,7125,4
406,4193,2
407,8907,1
408,6147,6
409,5846,3
410,2835,1
411,3091,1
412,2048,2
413,3036,2
414,3849,1
415,3412,1
416,3551,2
417,4442,5
418,5052,6
419,3291,3
420,5982,1
421,2927,4
422,7692,2
423,5244,2
424,2879,4
425,8032,5
426,8475,4
427,8685,6
428,4738,1
429,7329,4
430,3089,3
431,4703,1
432,3296,6
433,2956,5
434,3084,2
435,8169,3
436,4187,1
437,6379,6
438,4048,5
439,4712,3
440,9624,6
441,9211,4
442,6726,2
443,7978,1
444,8545,2
445,6577,2
446,3158,5
447,3176,2
448,3443,5
449,2873,4
450,2211,4
451,6077,5
452,3489,3
453,5612,5
454,4339,7
455,7705,1
456,4555,2
457,5653,4
458,8106,2
459,8365,4
460,8441,1
461,2943,6
462,7471,5
463,4205,2
464,9035,6
465,2975,6
466,9116,3
467,5430,1
468,3649,2
469,7093,2
470,5946,3
471,2777,1
472,8342,4
473,4682,4
474,6257,5
475,4144,2
476,6185,1
477,1791,5
478,4127,2
479,3088,4
480,2137,1
481,5383,6
482,5165,2
483,6407,5
484,7807,3
485,4976,2
486,8637,3
487,9462,1
488,9492,5
489,3993,3
490,3151,2
491,10843,1
492,3424,6
493,8145,2
494,6930,6
495,5064,6
496,4536,2
497,7751,6
498,7702,2
499,4707,3
500,7849,3
501,5823,3
502,3072,2
503,2794,6
504,3589,6
505,2883,5
506,3736,1
507,2821,3
508,3022,2
509,4550,1
510,3911,3
511,2846,5
512,5080,1
513,4384,7
514,2613,3
515,6866,7
516,3199,6
517,3255,1
518,2833,2
519,9028,1
520,5104,1
521,6634,7
522,8002,6
523,7628,4
524,8389,3
525,6666,2
526,4473,3
527,10332,2
528,5819,4
529,7284,6
530,8094,1
531,8665,4
532,8855,2
533,8551,3
534,4102,3
535,8303,3
536,6638,4
537,6850,5
538,4165,1
539,3227,4
540,6068,5
541,4745,5
542,2251,1
543,8926,5
544,7925,1
545,9402,2
546,2828,2
547,6087,2
548,4423,2
549,4471,6
550,5688,1
551,4544,3
552,5309,2
553,6471,4
554,8086,5
555,6270,1
556,7801,3
557,6167,4
558,3129,3
559,3217,2
560,5619,5
561,4016,5
562,3511,2
563,4126,3
564,3275,6
565,3355,2
566,3739,2
567,4643,7
568,6474,3
569,6756,4
570,6416,1
571,6987,6
572,5830,5
573,4049,5
574,4302,5
575,4336,3
576,2945,5
577,9213,4
578,5597,3
579,9649,2
580,2591,3
581,7045,4
582,4057,5
583,6415,1
584,9249,4
585,6355,2
586,5561,2
587,7999,5
588,3400,4
589,2964,2
590,6553,3
591,2840,2
592,7266,3
593,6002,2
594,5531,2
595,4390,3
596,4397,4
597,5146,5
598,3005,4
599,7033,5
600,5470,6
601,7199,4
602,8054,4
603,6564,4
604,3966,4
605,4502,3
606,8493,5
607,6674,2
608,3134,6
609,5958,3
610,3286,5
611,7134,2
612,4783,4
613,4892,2
614,3893,4
615,6586,1
616,7299,1
617,7723,1
618,7721,2
619,2949,5
620,3115,2
621,4259,2
622,5089,7
623,5722,1
624,2827,2
625,4540,4
626,2875,2
627,4562,2
628,3232,2
629,3743,4
630,8258,2
631,3292,3
632,3202,4
633,3342,5
634,4699,6
635,8019,1
636,4166,3
637,7745,7
638,10722,4
639,5526,7
640,4615,6
641,3643,2
642,8162,1
643,3741,4
644,6537,7
645,2785,1
646,5751,4
647,7135,3
648,3028,2
649,3243,1
650,3297,5
651,4430,2
652,5673,3
653,7101,3
654,9274,1
655,7725,6
656,5346,6
657,6697,4
658,7551,1
659,9599,6
660,6936,5
661,9598,3
662,8842,2
663,4141,3
664,3623,3
665,6255,1
666,4608,2
667,6169,6
668,7057,1
669,3047,3
670,7154,2
671,6224,3
672,3661,2
673,4890,2
674,5073,2
675,4254,1
676,6972,3
677,5249,1
678,2862,4
679,2953,5
680,4160,2
681,5736,2
682,5742,6
683,6653,5
684,3304,6
685,3185,3
686,2791,4
687,3399,2
688,8231,6
689,10228,3
690,9756,4
691,3168,2
692,4357,2
693,3204,6
694,8335,2
695,2999,6
696,3541,2
697,4040,2
698,2849,2
699,8541,2
700,10411,2
701,5009,3
702,9903,2
703,6188,3
704,3108,3
705,5015,4
706,3385,3
707,6419,2
708,1337,5
709,2961,4
710,2940,6
711,5257,5
712,2981,4
713,3049,4
714,5748,4
715,3031,4
716,3337,6
717,7609,2
718,3074,4
719,5799,6
720,4176,2
721,3324,6
722,10212,1
723,4414,7
724,5376,4
725,3719,3
726,3157,2
727,4023,6
728,4576,6
729,3350,3
730,4823,4
731,4054,2
732,9942,7
733,6878,1
734,6939,4
735,9426,1
736,3908,4
737,3590,3
738,6204,2
739,4515,3
740,5925,3
741,3125,3
742,9498,2
743,3820,5
744,3216,1
745,2150,3
746,3961,3
747,4692,3
748,8797,1
749,7759,6
750,5011,3
751,8923,3
752,337,3
753,1469,3
754,1895,1
755,1884,2
756,1909,4
757,2554,2
758,3534,3
759,1907,1
760,3473,2
761,1986,2
762,2793,1
763,6072,2
764,5183,3
765,5456,5
766,6266,1
767,7146,1
768,6798,2
769,7361,7
770,3711,2
771,4573,2
772,6703,3
